
A T O M   T Y P E S

IDX	TYPE	RING
1	H_	NO
2	C_3	AL
3	C_3	AL
4	C_3	AL
5	C_3	AL
6	C_3	NO
7	C_2	AL
8	C_2	AL
9	C_2	AL
10	C_2	AL
11	C_3	AL
12	C_3	NO
13	C_3	AL
14	C_3	NO
15	C_3	NO
16	C_3	AL
17	C_3	AL
18	C_3	AL
19	O_3	NO
20	C_3	AL
21	C_2	AL
22	O_2	NO
23	O_2	AL
24	O_2	NO
25	C_2	NO
26	O_2	NO
27	C_3	NO
28	C_3	NO
29	C_3	NO
30	C_3	NO
31	C_3	NO
32	H_	NO
33	H_	NO
34	H_	NO
35	H_	NO
36	H_	NO
37	H_	NO
38	H_	NO
39	H_	NO
40	H_	NO
41	H_	NO
42	H_	NO
43	H_	NO
44	H_	NO
45	H_	NO
46	H_	NO
47	H_	NO
48	H_	NO
49	H_	NO
50	H_	NO
51	H_	NO
52	H_	NO
53	H_	NO
54	H_	NO
55	H_	NO
56	H_	NO
57	H_	NO
58	H_	NO
59	H_	NO
60	H_	NO
61	H_	NO
62	H_	NO
63	H_	NO
64	H_	NO
65	H_	NO
66	H_	NO
67	H_	NO
68	H_	NO

S E T T I N G   U P   C A L C U L A T I O N S

SETTING UP BOND CALCULATIONS...
SETTING UP ANGLE CALCULATIONS...
SETTING UP TORSION CALCULATIONS...
SETTING UP OOP CALCULATIONS...
SETTING UP VAN DER WAALS CALCULATIONS...

S T E E P E S T   D E S C E N T

STEPS = 10000

STEP n       E(n)         E(n-1)    
------------------------------------
    0     544.588      ----
   10    457.91394    459.40466
   20    447.93124    448.70471
   30    441.48937    442.05435
   40    436.47262    436.93179
   50    432.27544    432.66728
   60    428.64086    428.98366
   70    425.43548    425.73955
   80    422.57821    422.85025
   90    420.01306    420.25794
  100    417.69750    417.91906
  110    415.59718    415.79858
  120    413.68326    413.86717
  130    411.93106    412.09979
  140    410.31935    410.47489
  150    408.82975    408.97382
  160    407.44642    407.58050
  170    406.15575    406.28111
  180    404.94605    405.06378
  190    403.80733    403.91837
  200    402.73110    402.83622
  210    401.71011    401.80999
  220    400.73821    400.83343
  230    399.81020    399.90124
  240    398.92165    399.00892
  250    398.06883    398.15267
  260    397.24854    397.32926
  270    396.45809    396.53593
  280    395.69517    395.77034
  290    394.95780    395.03050
  300    394.24429    394.31467
  310    393.55320    393.62139
  320    392.88325    392.94938
  330    392.23334    392.29751
  340    391.60250    391.66480
  350    390.98990    391.05041
  360    390.39475    390.45355
  370    389.81640    389.87355
  380    389.25422    389.30977
  390    388.70765    388.76167
  400    388.17619    388.22871
  410    387.65935    387.71043
  420    387.15669    387.20637
  430    386.66779    386.71611
  440    386.19226    386.23926
  450    385.72973    385.77544
  460    385.27982    385.32429
  470    384.84219    384.88545
  480    384.41651    384.45859
  490    384.00245    384.04337
  500    383.59967    383.63948
  510    383.20788    383.24661
  520    382.82676    382.86443
  530    382.45601    382.49266
  540    382.09533    382.13098
  550    381.74442    381.77911
  560    381.40300    381.43675
  570    381.07078    381.10362
  580    380.74747    380.77944
  590    380.43279    380.46391
  600    380.12648    380.15677
  610    379.82824    379.85773
  620    379.53782    379.56654
  630    379.25494    379.28293
  640    378.97935    379.00662
  650    378.71079    378.73736
  660    378.44899    378.47490
  670    378.19371    378.21898
  680    377.94470    377.96935
  690    377.70170    377.72576
  700    377.46449    377.48799
  710    377.23283    377.25578
  720    377.00647    377.02890
  730    376.78519    376.80712
  740    376.56875    376.59021
  750    376.35694    376.37795
  760    376.14954    376.17011
  770    375.94631    375.96648
  780    375.74706    375.76683
  790    375.55155    375.57096
  800    375.35958    375.37865
  810    375.17094    375.18968
  820    374.98541    375.00386
  830    374.80279    374.82095
  840    374.62286    374.64077
  850    374.44542    374.46308
  860    374.27024    374.28769
  870    374.09712    374.11437
  880    373.92584    373.94291
  890    373.75616    373.77309
  900    373.58789    373.60468
  910    373.42536    373.43992
  920    373.32254    373.33120
  930    373.23680    373.24533
  940    373.15208    373.16052
  950    373.06832    373.07666
  960    372.98548    372.99372
  970    372.90351    372.91167
  980    372.82239    372.83047
  990    372.74209    372.75009
 1000    372.66256    372.67048
 1010    372.58379    372.59164
 1020    372.50573    372.51351
 1030    372.42836    372.43607
 1040    372.35165    372.35930
 1050    372.27557    372.28316
 1060    372.20010    372.20762
 1070    372.12519    372.13266
 1080    372.05084    372.05825
 1090    371.97700    371.98437
 1100    371.90366    371.91098
 1110    371.83079    371.83806
 1120    371.75836    371.76559
 1130    371.68635    371.69353
 1140    371.61473    371.62188
 1150    371.54348    371.55059
 1160    371.47257    371.47965
 1170    371.40198    371.40903
 1180    371.33169    371.33871
 1190    371.26167    371.26867
 1200    371.19190    371.19887
 1210    371.12235    371.12930
 1220    371.05299    371.05993
 1230    370.98382    370.99073
 1240    370.91479    370.92169
 1250    370.84588    370.85277
 1260    370.77708    370.78396
 1270    370.70835    370.71522
 1280    370.63967    370.64654
 1290    370.57100    370.57787
 1300    370.50233    370.50921
 1310    370.43363    370.44051
 1320    370.36486    370.37175
 1330    370.29600    370.30290
 1340    370.22701    370.23392
 1350    370.15787    370.16480
 1360    370.08853    370.09548
 1370    370.01897    370.02594
 1380    369.94914    369.95614
 1390    369.87901    369.88604
 1400    369.80853    369.81560
 1410    369.73766    369.74478
 1420    369.66636    369.67352
 1430    369.59457    369.60178
 1440    369.52224    369.52951
 1450    369.44931    369.45664
 1460    369.37572    369.38312
 1470    369.30141    369.30888
 1480    369.22630    369.23386
 1490    369.15223    369.15908
 1500    369.09966    369.10414
 1510    369.05528    369.05971
 1520    369.01100    369.01543
 1530    368.96674    368.97117
 1540    368.92250    368.92692
 1550    368.87825    368.88268
 1560    368.83400    368.83843
 1570    368.78973    368.79416
 1580    368.74544    368.74987
 1590    368.70111    368.70555
 1600    368.65674    368.66119
 1610    368.61232    368.61677
 1620    368.56784    368.57229
 1630    368.52328    368.52774
 1640    368.47863    368.48310
 1650    368.43388    368.43837
 1660    368.38903    368.39352
 1670    368.34405    368.34856
 1680    368.29894    368.30346
 1690    368.25368    368.25821
 1700    368.20825    368.21280
 1710    368.16264    368.16721
 1720    368.11684    368.12143
 1730    368.07081    368.07543
 1740    368.02456    368.02920
 1750    367.97806    367.98272
 1760    367.93128    367.93597
 1770    367.88420    367.88893
 1780    367.83681    367.84157
 1790    367.78908    367.79387
 1800    367.74097    367.74580
 1810    367.69246    367.69734
 1820    367.64353    367.64845
 1830    367.59413    367.59910
 1840    367.54423    367.54925
 1850    367.49380    367.49887
 1860    367.44278    367.44792
